EstadoDesc_x,number,AnoMes,Estado,EstadoDesc_y,Precipitacao,TempMaxima,TempMinima,UmidadeRelativa
Acre,1.397,2015-01,AC,Acre,9.286734693877552,31.155102040816324,22.351546391752578,89.45525291828794
Acre,2.928,2015-01,AC,Acre,9.286734693877552,31.155102040816324,22.351546391752578,89.45525291828794
Acre,905.0,2015-01,AC,Acre,9.286734693877552,31.155102040816324,22.351546391752578,89.45525291828794
Acre,115.0,2015-01,AC,Acre,9.286734693877552,31.155102040816324,22.351546391752578,89.45525291828794
Acre,8.0,2015-01,AC,Acre,9.286734693877552,31.155102040816324,22.351546391752578,89.45525291828794
Acre,12.0,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,5.0,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,0.0,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,0.0,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,21.0,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,87.0,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,533.0,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,2.188,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,3.586,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,509.0,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,46.0,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,6.0,2016-01,AC,Acre,6.346551724137932,32.463793103448275,23.99310344827586,90.04827586206896
Acre,0.0,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Acre,1.0,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Acre,0.0,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Acre,1.0,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Acre,10.0,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Acre,45.0,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Acre,457.0,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Acre,1.493,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Acre,3.429,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Acre,1.508,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Acre,98.0,2017-01,AC,Acre,14.329032258064515,30.322580645161292,22.75483870967742,90.0576923076923
Alagoas,36.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,41.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,44.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,18.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
